"","H001","H002","H003","H004","H005","H006","H007","H008","H009","H010","H011","H012","H013","H014","H015","H017","H018","H019","H020","H021","H022","H023","H025","PG1001","PG1002","PG1003","PG1004","PG1005","PG1006","PG1007","PG1008","PG1010","PG1011","PG1012","PG1013","PG1014","PG1016","PG1017","PG1018","PG1019","PG1020","PG1021","PG1022","PG1023","PG1024","PG1025","PG1026","PG1027","PG1028","PG1029","PG1030","PG1031","PG1032","PG1033","PG1034","PG1035","PG2001","PG2002","PG2003","PG2004","PG2005","PG2006","PG2007","PG2008","PG2010","PG2011","PG2012","PG2013","PG2015","PG2016","PG2017","PG2019","PG2020","PG2021","PG2022","PG2023","PG2024","PG2025","PG2027","PG2028","PG2029","PG2030","PG2031","PG2032","PG2033","PG2034","PG2035"
"AIM2",6.80927042036251,0.958267286010276,1.24056708777995,1.07028851353328,2.24855816861523,3.33495221979956,2.10185979580348,3.62923826105752,2.97832153140595,2.87853230742262,2.40493974416255,2.40160688037124,NA,5.58671430713482,2.73208087470977,5.97249605005638,7.11074520970194,3.47376300029598,2.18177342858749,12.2609624697636,3.55454855246715,0.768437834467463,13.5698571488273,NA,5.90321137100438,3.72610070568885,3.9326451089616,13.4263941937047,3.70463994481077,3.79824596358789,4.81321210399801,11.0604128550239,6.44270557534104,NA,8.308952828841,4.4372525467932,2.29500930025065,2.82842712474619,7.95576134938571,10.0375365316503,NA,8.73616436596521,14.4734137233233,22.8058704926405,56.2585318983544,10.6098571967483,13.7942967202815,83.3436281324178,14.8151363604372,29.3644762339637,17.2397466332458,18.8479189244264,7.27862867803694,28.9468274466467,7.0250086414932,11.3294035057163,NA,3.72050897719113,4.45368647291474,1.79067063347719,NA,1.00975129759669,3.64773266207908,NA,NA,NA,3.99722837196181,6.39968102666202,4.32190292118095,NA,4.04460832340522,NA,2.57933650131177,3.27274228374731,3.91089824484093,2.30138124646517,5.63337690764832,3.52755032943637,5.49264099949957,3.13254087204376,4.94852991474869,5.51935621897346,11.0693607154613,1.45061700541581,3.68713438678581,NA,4.41832639857623
"CASP1",26.9584721368979,12.6435816726328,10.1729572762417,44.4055055030632,25.5987368317663,29.3577045962251,16.3513029321816,22.1157202945113,19.9502336841871,23.9065439059095,22.6954870958925,30.9743022397806,40.748267440901,33.1208195895411,25.9860738561401,22.611734953953,17.1444159181992,16.9396567718906,23.7633554277022,38.86319936411,17.7367113984136,33.7309228101598,32.8009631987331,15.5840682966919,27.8640552455673,25.3046976825667,18.3452331308972,43.7638169678736,16.6987321666204,27.5885934405631,14.9078468688764,26.7660683578079,16.9357503180021,4.52421241558817,29.0070833096989,17.7531115530855,17.8931233272184,16.5757242169603,34.0755884662897,24.0255907527465,30.2808402467101,20.6537713304386,22.0086690902359,NA,28.7734571404226,25.3632315436749,27.8383152866768,27.8190259228807,27.8833758321313,22.975112169975,32.2971136387792,NA,35.3425280238184,49.0778451095389,25.7351211076257,NA,17.1444137422474,28.0902975235046,32.4542009997248,16.8849577778568,20.0704352723359,NA,24.5275857843322,16.0666806918236,22.1310500641754,17.3396154695165,23.4632886595905,26.3123220591381,20.3365070288907,18.4004184030523,11.9670860668991,9.3545397050994,32.1110959523041,24.1563961642308,NA,NA,10.7654247221121,23.6155735044704,21.2001122727233,17.8724643159869,18.7350336874644,15.6490155751574,21.4563583640545,15.9483286259287,23.4199593503632,14.3800820257765,26.2334079484881
"CCL2",16.0592565519561,6.06426626396777,10.2247966359192,8.73011230912615,4.51794682992482,5.35789878540141,7.98706993619508,7.41784115481025,8.85402464578632,15.3517689399549,11.0425396057884,14.5068876503617,7.95944084231874,13.3644929829456,7.94841060410734,15.0950134512091,15.985215408071,12.2751343165461,5.46037473678586,21.6355623999981,7.98153783430324,10.6614585171308,40.410737287516,17.5938583890328,13.1561610295691,40.5979038023968,22.5908502723947,46.9699667326107,22.3675189468638,13.7847385553923,16.1784332936209,52.1766832548124,19.0801419572901,4.2535477998075,22.9644978664391,21.12676545624,29.9814862999176,13.5104141987805,19.3464908133338,28.7203216213524,19.4990689399299,35.0335836536344,47.5596656161977,25.3632315436749,28.8466790317142,26.221288340425,30.0022750866275,20.4968930220878,36.4960055657835,33.6530805235657,58.5528166239341,26.5811816184938,40.1965561965929,35.0578755013091,19.4810562986078,29.8846622628041,8.04634352854264,11.4319531179287,46.7858383488011,11.7235153912056,24.324417186941,6.93710313412714,14.1919408824344,13.1774562762812,10.2721528264553,13.1835469611967,8.91354920655466,13.0381445193657,16.0778211267806,8.73414611656532,8.72406186132206,20.672868291571,9.41960567427578,25.4689339078133,11.6425351551469,8.49531043169906,8.07241307075745,17.9138062184678,16.6755988468801,13.1622418717162,27.9220572045057,20.7734174105857,20.7590233640497,16.3399689096646,15.5481030180726,9.31141227521709,25.2113243535791
"CCL20",0.0413347932426879,0.0184104266406982,0.020510413410343,0.0329327369173209,0.0259882027599605,NA,0.0291707548470441,NA,NA,0.0328036524348568,0.0470715828076589,0.0265987013266011,NA,0.0759924643080041,NA,0.0479608190508591,0.0127679165829763,0.0142489490048616,NA,0.0301576257247907,0.0705602603746466,0.20423941365383,0.288171637497593,0.540362701019676,0.172539669174579,1.03275639955982,0.14871959654542,0.815072332402625,0.180950458283851,0.187895184758195,9.96589932455579,1.12298085577281,NA,0.251477285384154,1.65175532987144,0.338837784503444,0.850274160064196,0.452294178853854,0.860949188338905,NA,1.08422687030144,0.578076901973558,0.537995744619534,0.646475081226873,1.51012363260571,0.951098500528611,2.67709190292674,0.258278596921033,0.716977624007914,1.42355674292182,1.55437363264918,0.896266699569406,1.71079472818336,0.657623305797461,0.813567150343667,2.41998817843859,0.270556161131429,0.0331464919177568,0.702547008523607,0.0608330858848899,0.344203419087447,0.167125061925642,0.0319952156383888,7.77764471376861,NA,0.0728715758711735,0.0223357730812668,0.141153160138409,0.24383886538191,0.113754853010112,0.0826409128214109,NA,0.0431349172936447,0.102948877158447,0.159485812953539,0.0330699956656629,0.0923336289739101,0.0412203338567155,NA,NA,1.38639017279441,0.017627845897758,0.160613678256857,0.103976783259797,0.125782227937223,0.00672616553389769,0.356506429341035
"CCL27",151.48171529679,163.596702917338,438.672212372549,548.367777607462,333.451489692479,244.665371026492,179.064174035,163.86147323475,NA,NA,93.6690558306457,189.536693368562,34.2097010745345,102.017044265154,59.2742249068107,112.283346905261,133.837010754518,85.7659441529666,175.460205223298,340.615511371028,153.029635686167,52.7463663705709,158.976109604764,24.0117170346101,45.9608423226882,19.6983106135187,19.4046880220112,34.6632094336381,11.5274379907034,79.5248220470979,103.680444624902,21.0828792277462,60.5476893904381,54.5938549629701,32.1556422535611,59.6727351319573,97.4776793410087,23.9286428046187,33.2051090931111,56.0833257960857,48.1678959171541,33.7153421488163,32.7858183370496,25.7351211076257,60.1850530542024,36.698944538955,30.8814088510597,12.1706417164265,48.3239562433826,19.4945642188031,16.2308501893477,25.4277751879729,18.6529684231328,57.9739681966941,17.7613171283098,87.1241034559663,47.5596656161977,184.48162723407,141.59894111372,144.507443815185,149.534372295621,147.612047882411,271.410614473207,104.160658686267,355.490369550666,269.660425204438,215.717588352807,311.624891820865,137.695092625233,172.246795553794,89.7599520411137,99.1815591627739,114.669136907447,213.092105129388,105.07920157397,162.354099113711,87.5680896373975,125.742917620602,82.5006358434918,152.852887945547,172.924682820562,199.281871703013,114.45737910299,99.9868641220342,123.582729558706,230.933447658335,315.975013200309
"CCL5",5.97387023092623,4.64281549385085,6.6884250768022,4.563053656935,3.1946685315856,2.4222257220785,4.45677471326462,10.6960048305501,15.0810651003317,5.30615456969944,7.15358515990973,7.65993974405017,5.09117863723444,9.14933146755874,9.178978846223,7.13707469006342,3.3442125384011,6.59329800458299,4.63531166969908,18.6486556855953,3.9613727027682,2.04769317278624,5.68633961852093,2.89052857260956,5.0876520269743,2.93630127206821,5.15986504687754,9.42178231675985,6.12198707929067,11.567458356366,3.49994762582003,8.95483386424631,27.7227794048028,4.32889857810286,16.0629689291659,16.2608789146906,7.53008769563729,5.81723398046449,5.17538671154453,29.5004829268669,16.0147939750666,68.7839470627521,17.3075946572813,20.4071102668567,16.6294283051194,21.014792894054,28.9668988138797,28.6474204646763,39.8175716553378,12.2496333834841,32.4467033532809,17.5491996751136,27.9801799006164,30.7816785492728,8.02777398807602,21.5159305677228,9.78564310419573,2.46741433961899,5.70278509409074,7.19170245703697,6.49351664781823,1.7605180271263,12.5881991256571,3.19984051333101,8.73616436596521,9.11978618154769,9.42613711075278,17.0417312542947,6.18025628980149,9.67101067058373,12.963050332728,15.7433064561302,6.12340172207132,41.3935286515073,10.4662060851769,6.47329387087239,9.47198414894946,13.0955069054529,11.2329633404298,15.9335960495113,12.0670406134926,11.4769442333107,45.8335883026495,9.15356246332821,24.9563204318646,16.8654627726518,9.50047732858728
"CTLA4",15.0897773185095,0.670356097267913,3.01571321033316,1.05008090615321,1.76703802308875,2.40493851475367,1.22943967345744,6.55532374909666,7.12224769981316,6.3115688523895,3.58258232670936,NA,5.99600164130032,7.91359713892732,3.08228560703558,10.8854874423296,6.94993476146071,3.75679325738358,NA,6.73417332771835,7.54489145222555,6.59481897511563,28.8700200818544,15.9078467810811,8.05378336638938,11.7533490662265,24.8556168078169,30.2738446952191,12.8616158518904,12.6465035653156,10.3424064289699,27.3537489043889,24.1675613690052,NA,62.5816012099403,52.0562686804561,4.17564770968688,11.4003009131903,12.1593988512121,28.7801059887281,24.3919523720916,25.2113243535791,92.1556043849399,128.667153925309,99.9637649196704,78.194758507104,168.546166023583,94.2225191787634,53.1132534777589,121.881329601354,169.209489247929,98.3827402162825,112.231460306444,50.6327872758688,29.0876196171855,100.798707757256,29.4052122713296,4.48881093786501,10.212989579693,2.85304005173806,13.5855399431494,NA,4.30197756182951,7.00313063755411,4.70110531367905,NA,3.9875427888815,14.2857017326548,12.5751177152441,6.51606050456172,8.68484439123388,10.589040765272,4.79655965516445,13.8006725118754,12.8437982194553,10.1518212484084,8.70593953336643,10.5341353764739,22.6378755010749,NA,79.690361320628,12.6202332237309,72.2036567972168,11.8132443691788,22.5335076305933,12.3633687943678,36.7159069710966
"CXCL1",0.0069754418484515,NA,0.000538785861517451,0.000194133108075532,0.000390064418517015,0.000767258442840329,0.000495956058211317,0.000249434883003616,0.000541031059353308,0.00157165513132176,NA,0.000630011667899155,0.000776082938338286,0.000343742875601087,0.000488619709570439,NA,0.001924901238726,0.000254596307334718,0.00043836659300747,0.00199002114224853,0.00226333661406322,0.000719858435005779,0.00152668367295648,0.0277763337864553,0.00402442950632842,0.0372745135067975,0.00901993863195378,0.0276355027094834,0.00804514050925863,0.00163291642243853,0.0069248570249599,0.0521929949642731,0.0314237681374521,NA,0.017301009132567,0.0144712497844171,0.00363624889100742,0.0267064741957775,0.0330623557568733,0.00491929287985791,0.00481138068097859,0.0557326539987076,0.0210359385824497,0.076291527919479,0.0550797822669777,0.00165647636402022,0.0219191145970985,0.0223435154119014,0.0396738807420903,0.0447076853886029,0.02031937728982,0.0633724674868768,0.0257729233940651,0.0189367601344362,0.00993911652344295,0.0197090220129883,0.00255581654581057,0.00129844444158371,0.00306159677125793,0.000789011163613661,0.00132910119383344,NA,0.000831689900445806,0.00671995210865116,0.00129844444158371,0.000351302143557329,NA,0.000512912375005251,0.00131870111930484,0.00057625700358213,0.00444685167607374,0.00357378031151941,0.00184201432962249,0.00193873768608403,0.000683391535935154,0.000708227262327839,0.000659655314714666,0.000523931806278345,0.000779048085751008,0.00100123753700058,0.0126914436930662,0.00150745780243076,0.00581770825900025,0.00115211464545506,0.00059823502534408,NA,NA
"CXCL10",4.59161124182989,1.01700945316248,1.79792587414346,2.06622823995387,1.98435010221547,1.05336098024998,1.69760452200411,0.744580402539299,8.29743972683384,2.34404341452191,2.8968807044615,0.578343816691925,3.68245307085999,2.79335744900928,NA,NA,2.23664058149458,0.688009309974694,NA,4.86688936590267,0.860650712143437,NA,7.81186318216444,11.9505076568987,14.2576733317354,31.7202741173664,9.04633444262297,22.6902405708713,16.7760752569425,24.8872226534116,5.51744368730824,28.1422674338499,36.2104282300312,NA,15.8619693994026,11.567458356366,3.27160823423112,13.7815539724161,25.4924830811386,11.6694662232145,18.878427146591,69.7280227262229,21.0099380067864,12.817118041434,13.2109898995187,7.12060586601997,41.1076026634698,40.757679210448,22.5256994650823,19.5758086581099,31.6616967548344,27.3853674543464,19.0229181048981,19.252848415992,15.1264338680119,20.601345600688,3.11881937044529,6.14750072515205,34.1149768769979,1.029540083434,14.4400116393989,1.71871857233298,8.78068403507333,4.80876580640793,4.88209375268063,7.32840888425439,NA,6.43378027690643,4.48466431211404,5.63467864446513,5.39391704244903,3.28524280300826,11.1399176804742,50.2481995951086,4.66863240727387,NA,2.98486703619277,0.733058378594605,25.7529655179497,2.41384549174877,16.7915868093853,2.41914961976669,6.63455636651553,14.8562696369077,19.1508076766757,3.90683411584891,2.67400099081027
"CXCL2",0.0288090533733411,0.00243027187027099,0.00302049425642806,0.0017186596768937,NA,NA,0.00519377812339595,NA,0.00721892728891044,0.00943343876194415,0.0125906817530338,0.00599718251535193,0.0152223343615347,NA,NA,0.00404260435907987,0.00826941178390185,0.00786956627244473,0.00485100848935741,0.0166962339281574,0.0159201762941851,0.00369639233539225,0.0116947132668904,0.0322848246151291,0.0108487051254476,0.0671252794762578,0.0125736877670467,0.0401348690309195,0.0202490775848958,0.00805816279224836,0.0196136248637913,0.0564714962283694,0.03125,NA,0.0281770945310795,0.0146664819834203,NA,0.04253123820267,0.0590262295846917,0.00963165879268599,0.0202537566557676,0.064771366878167,0.0393270741387155,0.0296053147062271,0.0671407905008288,0.010979833595365,0.0330394466188172,0.0208761574748453,0.0591559324505969,0.0408647296417737,0.0352638385310823,0.0305962785997464,0.0825264275634375,0.030919625737143,0.0310341404824074,0.0348185515881041,0.0159146583909485,0.012288903461141,NA,0.00984768274674207,0.00360821244575648,0.00299443597239169,NA,0.0183891677690432,NA,0.00345763189288887,0.00578954893265708,0.00497013240076748,0.0126606913764959,0.00383515340076126,0.0224288583813589,0.00908687532459258,0.00593857841478052,0.00966956474520268,0.00800435017994376,0.00446693197512536,NA,0.0138145591450694,NA,NA,0.0324193730176754,0.00255316059122627,0.00753070162297377,0.0182621445087695,0.0155439825859597,0.0191390982294553,0.0130693693153359
